Idade,Renda,Regiao,Genero,seguroauto,segurovidaEmp,segurovidaPF,SeguroResidencial,AGE_RANGE,INCOME_RANGE,Emprestimo_pessoal,Emprestimo_consignado,Emprestimo_limite_especial,Emprestimo_educacao,Emprestimo_viagem,InvestimentoCDB,InvestimentoFundos,InvestimentoFundos_cambiais,InvestimentoFundos_commodities,InvestimentoLCI,InvestimentoLCA,InvestimentoPoupanca,InvestimentoFundosMultimercado,InvestimentoTesouroDireto,tipo_financiamiento
1.7252436111082365,-2.762345073367298,2,1.0,1,1,1,1,4,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0
-0.007627496081766513,-2.758505139473984,0,0.0,1,1,1,1,1,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0
0.5307541652241581,-2.7583434310279418,0,0.0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
0.893897874026586,-2.73890376569304,2,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,3
1.6701808906107523,-2.7233091678529138,4,1.0,0,0,0,0,1,0,1,1,1,1,1,1,1,0,0,1,0,1,1,0,1
0.43887036169461413,-2.71738499176617,0,0.0,0,0,0,0,3,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1
2.3323692210107136,-2.7071511572523717,4,0.0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3
1.992280915115975,-2.7041197655892675,4,1.0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
-0.14621326960380907,-2.7019906043830484,4,0.0,0,0,0,1,3,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,3
-1.009481872249952,-2.6868066946598543,0,0.0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3
0.5225623187697782,-2.639931779713532,3,0.0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,3
-0.9124464951769313,-2.625985067942595,4,1.0,1,1,1,1,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3
-0.5884040740897416,-2.62539342037414,0,0.0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1
-0.5552988801710087,-2.623864890538934,0,0.0,1,1,0,0,3,0,1,0,0,0,0,1,1,1,1,1,1,1,1,0,3
-1.2251723448735334,-2.619321653245374,4,0.0,1,0,0,0,3,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,3
2.241076581658289,-2.611273449553873,3,0.0,1,1,1,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,1,3
-1.0103263925029808,-2.609837324544976,3,0.0,0,0,0,1,7,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1
0.7132549919037038,-2.6071344833754178,4,1.0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,3
0.8287853625180577,-2.5983881098851325,4,1.0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1
-0.7767320905151867,-2.594158022280733,4,1.0,0,0,0,0,3,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,3
-1.244596310693198,-2.5905760518608667,4,1.0,1,1,1,1,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,3
1.6292216583388506,-2.5782643921554658,2,0.0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3
-0.42152687209123074,-2.5762687045872488,1,1.0,0,1,0,0,6,0,0,0,0,1,0,1,1,1,1,1,1,1,1,1,3
-0.48351465866355225,-2.565086437203411,2,0.0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,3
-1.2967032103050813,-2.5540825624703642,4,1.0,0,0,0,0,7,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,2
